function name,avg time,min time,max time,std dev
copy_matrix_5000,25.175693,13.66938,48.12339,16.22649358
copy_matrix_7000,62.63711,26.38683,87.67089,26.24616044
copy_matrix_9000,86.82991,43.49832,172.1851,60.35758651
count_words_bible.txt,8.021537,7.860716,8.21934,0.1487245947
count_words_book1.txt,4.098391,4.005103,4.195098,7.76E-02
count_words_plrabn12.txt,2.138953,2.130465,2.14514,6.21E-03
count_words_world192.txt,24.58775,24.39681,24.70797,0.136517198
iterative_fibonacci_25,5.297162,1.92E-02,15.8255,7.444667908
recursive_fibonacci_25,1.592947,1.19E-01,4.39238,1.980432946
iterative_fibonacci_35,1.629669,1.77E-02,4.811444,2.249920016
recursive_fibonacci_35,5.370224,2.26E-01,15.439844,7.120860195
iterative_fibonacci_45,1.650158,2.32E-02,4.857663,2.268128244
recursive_fibonacci_45,5.476107,2.46E-01,15.536787,7.115839541
matrix_multiplication_1500,2.030673,2.020865,2.045229,1.05E-02
matrix_multiplication_1750,3.254968,3.243672,3.27451,1.39E-02
matrix_multiplication_2000,5.10482,5.086322,5.132897,2.02E-02
belief_propagation_250,8.197688,7.999211,8.299047,0.1403551119
belief_propagation_500,16.61346,15.96101,17.76137,0.8142172446
belief_propagation_1000,32.55899,30.36064,33.86856,1.563929711
markov_chain_function_5000,4.41E-02,2.46E-02,7.19E-02,2.02E-02
markov_chain_function_10000,6.59E-02,5.27E-02,9.07E-02,1.75E-02
markov_chain_function_15000,9.30E-02,7.86E-02,1.17E-01,1.74E-02
compute_FFT_1000,0.236763,0.232236,0.244727,5.65E-03
compute_FFT_3000,2.975742,2.943564,3.018123,3.13E-02
compute_FFT_5000,10.22466,8.845843,12.6995,1.753781109
iterative_solver_100,94.107481,93.312719,94.55547,0.5634978616
iterative_solver_150,446.3034,445.84001,446.54036,0.3277059267
iterative_solver_200,1382.52159,1377.00216,1385.68943,3.91702665
sqrt_matrix_1000,1.663882,1.634921,1.712021,3.43E-02
sqrt_matrix_2000,13.80383,13.74831,13.86243,4.66E-02
sqrt_matrix_4000,107.8371,107.6794,107.9781,0.1225141897
compute_quadrature_50,4.55E-03,4.54E-04,1.10E-02,4.60E-03
compute_quadrature_75,4.94E-03,8.30E-04,1.15E-02,4.70E-03
compute_quadrature_100,5.56E-03,1.45E-03,1.24E-02,4.90E-03
evaluate_functions_80000,32.64079,32.60594,32.70311,4.42E-02
evaluate_functions_90000,36.57089,36.36527,36.68265,0.1455766745
evaluate_functions_100000,40.54424,40.40959,40.65598,0.1018844414