function name,avg time,min time,max time,std dev,median
copy_matrix_5000,5.4114235,5.3627159,5.4752561,0.04717273143,5.3962984
copy_matrix_7000,,,,,
copy_matrix_9000,,,,,
count_words_bible.txt,8.358695,8.12876,8.743726,0.2739666184,8.203601
count_words_book1.txt,4.337612,4.239455,4.396852,0.06990161452,4.376529
count_words_plrabn12.txt,2.217196,2.11084,2.357637,0.1035969631,2.183112
count_words_world192.txt,24.745,23.81591,25.93369,0.883850274,24.48542
iterative_fibonacci_25,4.38E-03,1.08E-05,1.31E-02,0.00616477413,3.19E-05
recursive_fibonacci_25,1.34E-03,8.24E-05,3.71E-03,0.001675853192,2.22E-04
iterative_fibonacci_35,4.40E-03,9.52E-06,1.32E-02,0.006190712037,4.52E-05
recursive_fibonacci_35,1.42E-03,1.08E-04,3.80E-03,0.001683557793,3.56E-04
iterative_fibonacci_45,4.44E-03,1.58E-05,1.32E-02,0.006229743035,5.30E-05
recursive_fibonacci_45,1.57E-03,1.48E-04,4.01E-03,0.001736674802,5.41E-04
matrix_multiplication_1500,2.084756,2.067728,2.093487,0.01204191782,2.093053
matrix_multiplication_1750,3.300986,3.266802,3.336284,0.02837682992,3.2998730
matrix_multiplication_2000,5.015675,4.90023,5.170158,0.113602278,4.976638
belief_propagation_250,8.496594,8.403458,8.676297,0.1270972791,8.410028
belief_propagation_500,16.16275,15.1525,16.78972,0.7212489172,16.54603
belief_propagation_1000,31.65289,31.65289,33.36114,0.7005364319,32.36633
markov_chain_function_5000,1.85E-02,3.09E-02,4.53E-02,0.007309705051,2.88E-02
markov_chain_function_10000,0.05144345,0.03703368,0.0724321,0.01518163981,4.49E-02
markov_chain_function_15000,0.06988706,0.05672504,0.09132823,0.01529168654,6.16E-02
compute_FFT_1000,0.2457579,0.2241374,0.279598,0.02423435664,2.34E-01
compute_FFT_3000,3.250122,3.221878,3.303728,0.03792342203,3.22E+00
compute_FFT_5000,10.32823,10.1869,10.51092,0.1354760518,10.28686
iterative_solver_100,32.049816,31.841498,32.43398,0.2719678169,31.873972
iterative_solver_150,164.81034,164.28117,165.2654,0.4052099765,164.8844
iterative_solver_200,489.76022,487.84202,492.38911,1.923161318,489.04952
sqrt_matrix_1000,2.034415,1.718302,2.653038,0.4374675378,1.731906
sqrt_matrix_2000,14.52661,14.45544,14.6088,0.06309142854,14.5156
sqrt_matrix_4000,112.9222,111.6587,113.9134,0.9404000886,113.1945
compute_quadrature_50,4.09E-03,4.75E-04,1.01E-02,0.004282428002,1.70E-03
compute_quadrature_75,4.42E-03,8.54E-04,1.04E-02,0.004257051331,2.00E-03
compute_quadrature_100,0.004938822,0.001413423,0.01085818,0.004211028636,2.54E-03
evaluate_functions_80000,44.56893,42.74729,48.17663,2.551072822,42.78286
evaluate_functions_90000,47.85661,47.54476,48.05904,0.2237566117,47.96603
evaluate_functions_100000,54.94803,54.21641,55.63549,0.5801773911,54.99217